branch,block_no,room_no,bench_no,enrollment_no
CSE,B-21,,21,2303051051367
CSE,B-21,,2,2203051050121
CSE,B-21,,12,2303051051219
CSE,B-21,,22,2303051050200
CSE,B-21,,3,2303051051006
CSE,B-21,,13,2403051057142
CSE,B-21,,23,2303051050021
CSE,B-21,,4,2303051050405
CSE,B-21,,14,2303051050282
CSE,B-21,,24,2303051051472
CSE,B-21,,5,2303051050219
CSE,B-21,,15,2303051051454
CSE,B-21,,25,2303051051386
CSE,B-21,,6,2303051050195
CSE,B-21,,16,2303051050907
CSE,B-21,,26,2303051050442
CSE,B-21,,7,2303051051087
CSE,B-21,,17,2303051050835
CSE,B-21,,27,2303051050036
CSE,B-21,,8,2303051051428
CSE,B-21,,18,2303051051246
CSE,B-21,,28,2303051050387
CSE,B-21,,9,2303051050338
CSE,B-21,,19,2303051051430
CSE,B-21,,29,2403051057081
CSE,B-21,,10,2303051050424
CSE,B-21,,20,2303051050812
CSE,B-21,,30,2303051050259
CSE,B-23,249,1,2303051051363
CSE,B-23,249,11,2303051050137
CSE,B-23,249,21,2303051050291
CSE,B-23,249,2,2303051051329
CSE,B-23,249,12,2203051051152
CSE,B-23,249,22,2303051050316
CSE,B-23,249,3,2303051050999
CSE,B-23,249,13,2303051050001
CSE,B-23,249,23,2303051050456
CSE,B-23,249,4,2303051050166
CSE,B-23,249,14,2303051050097
CSE,B-23,249,24,2303051050458
CSE,B-23,249,5,2303051050506
CSE,B-23,249,15,2303051050099
CSE,B-23,249,25,2303051050486
CSE,B-23,249,6,2303051050782
CSE,B-23,249,16,2303051050121
CSE,B-23,249,26,2303051050502
CSE,B-23,249,7,2403051057141
CSE,B-23,249,17,2303051050135
CSE,B-23,249,27,2303051050514
CSE,B-23,249,8,2303051051360
CSE,B-23,249,18,2303051050161
CSE,B-23,249,28,2303051050532
CSE,B-23,249,9,2303051050150
CSE,B-23,249,19,2303051050174
CSE,B-23,249,29,2303051050580
CSE,B-23,249,10,2303051050171
CSE,B-23,249,20,2303051050223
CSE,B-23,249,30,2303051050636
CSE,B-23,249,1,2303051050794
CSE,B-23,249,11,2303051051160
CSE,B-23,249,21,2303051051458
CSE,B-23,249,2,2303051050892
CSE,B-23,249,12,2303051051197
CSE,B-23,249,22,2403051057044
CSE,B-23,249,3,2303051050915
CSE,B-23,249,13,2303051051223
CSE,B-23,249,23,2403051057050
CSE,B-23,249,4,2303051050942
CSE,B-23,249,14,2303051051259
CSE,B-23,249,24,2403051057054
CSE,B-23,249,5,2303051050981
CSE,B-23,249,15,2303051051274
CSE,B-23,249,25,2403051057064
CSE,B-23,249,6,2303051050991
CSE,B-23,249,16,2303051051333
CSE,B-23,249,26,2403051057105
CSE,B-23,249,7,2303051050996
CSE,B-23,249,17,2303051051376
CSE,B-23,249,27,2403051057118
CSE,B-23,249,8,2303051051044
CSE,B-23,249,18,2303051051420
CSE,B-23,249,28,2403051057152
CSE,B-23,249,9,2303051051068
CSE,B-23,249,19,2303051051429
CSE,B-23,249,29,2403051057153
CSE,B-23,249,10,2303051051081
CSE,B-23,249,20,2303051051444
CSE,B-23,249,30,2303051051050
CSE,B-25,251,1,2303051050347
CSE,B-25,251,11,2303051051047
CSE,B-25,251,21,2303051050375
CSE,B-25,251,2,2303051051320
CSE,B-25,251,12,2303051050612
CSE,B-25,251,22,2303051050593
CSE,B-25,251,3,2403051057014
CSE,B-25,251,13,2303051051441
CSE,B-25,251,23,2303051050143
CSE,B-25,251,4,2303051051096
CSE,B-25,251,14,2303051050111
CSE,B-25,251,24,2303051050859
CSE,B-25,251,5,2303051051199
CSE,B-25,251,15,2303051051416
CSE,B-25,251,25,2303051050994
CSE,B-25,251,6,2303051051291
CSE,B-25,251,16,2303051051276
CSE,B-25,251,26,2303051050272
CSE,B-25,251,7,2303051050992
CSE,B-25,251,17,2303051050208
CSE,B-25,251,27,2303051050447
CSE,B-25,251,8,2303051050392
CSE,B-25,251,18,2303051051007
CSE,B-25,251,28,2303051050114
CSE,B-25,251,9,2303051051131
CSE,B-25,251,19,2303051051481
CSE,B-25,251,29,2303051050210
CSE,B-25,251,10,2303051050561
CSE,B-25,251,20,2303051051004
CSE,B-25,251,30,2303051051260
CSE,B-25,251,1,2303051050019
CSE,B-25,251,11,2303051051072
CSE,B-25,251,21,2303051050799
CSE,B-25,251,2,2403051057071
CSE,B-25,251,12,2303051050497
CSE,B-25,251,22,2403051057026
CSE,B-25,251,3,2303051050793
CSE,B-25,251,13,2403051057052
CSE,B-25,251,23,2303051051147
CSE,B-25,251,4,2303051051457
CSE,B-25,251,14,2403051057048
CSE,B-25,251,24,2403051057036
CSE,B-25,251,5,2303051051352
CSE,B-25,251,15,2303051050985
CSE,B-25,251,25,2303051051074
CSE,B-25,251,6,2303051050499
CSE,B-25,251,16,2303051051306
CSE,B-25,251,26,2303051051473
CSE,B-25,251,7,2303051051356
CSE,B-25,251,17,2303051050263
CSE,B-25,251,27,2403051057059
CSE,B-25,251,8,2303051051097
CSE,B-25,251,18,2403051057143
CSE,B-25,251,28,2303051051232
CSE,B-25,251,9,2403051057012
CSE,B-25,251,19,2303051051130
